,TERM,COST,MEAN
3212,newbies,9.13,9.13
3213,news,12.99,12.99
3214,newsletter,"['$0.86', '$1.08', '$2.0', '$40.0', '$75.0', '$80.0', '$82.0', '$83.0', '$100.0', '$100.0', '$107.0', '$150.0', '$150.0', '$200.0', '$956.0', '$1400.0']",220.43375
3215,newspaper,24.81,24.81
3216,next,350.0,350.0
3217,nice,8.99,8.99
3218,niche,"['$3.0', '$8.0', '$700.0']",237.0
3219,nickel,1.35,1.35
3220,nickname,158.05,158.05
3221,nicknamed,"['$1.5', '$200.0', '$300.0', '$340.0']",210.375
3222,night,11.23,11.23
3223,nightmare,4.99,4.99
3224,nights,24.99,24.99
3225,nine,25.99,25.99
3226,nineteen,4.99,4.99
3227,no,22.99,22.99
3228,nobody,10.5,10.5
3229,node,519.0,519.0
3230,noise,179.99,179.99
3231,noisy,4.09,4.09
3232,non,39.99,39.99
3233,none,350.0,350.0
3234,noon,8.19,8.19
3235,normal,22.99,22.99
3236,normally,3.49,3.49
3237,nose,5.99,5.99
3238,nostalgia,59.95,59.95
3239,nosy,171.5,171.5
3240,not,38.99,38.99
3241,note,"['$1.0', '$1.0', '$1.0', '$1.0', '$1.0', '$1.0', '$1.0', '$1.0', '$2.0', '$5.0', '$10.0', '$20.0', '$489.0', '$595.0', '$889.0', '$900.0', '$949.0', '$999.0']",270.3333333333333
3242,noted,12.99,12.99
3243,notes,11.99,11.99
3244,nothing,2.0,2.0
3245,notice,9.4,9.4
3246,noticed,13.99,13.99
3247,noticing,9.95,9.95
3248,notification,35.0,35.0
3249,notion,20.0,20.0
3250,now,12.74,12.74
3251,nowadays,12.95,12.95
3252,nowhere,14.95,14.95
3253,number,"['$3.99', '$3.99', '$4.0', '$97.0', '$99.0', '$100.0']",51.33000000000001
3254,numbers,"['$11.67', '$12.0', '$19.99', '$19.99']",15.912499999999998
3255,nurse,13.95,13.95
3256,nurses,7.99,7.99
3257,nurture,12.99,12.99
3258,nurturing,8.95,8.95
3259,nutrition,22.79,22.79
3260,nuts,15.71,15.71
3261,nylon,4.79,4.79
3262,o'clock,,
3263,object,9.95,9.95
3264,objection,25.36,25.36
3265,objections,4.0,4.0
3266,objects,63.99,63.99
3267,observation,19.95,19.95
3268,observed,6.53,6.53
3269,observing,4.9,4.9
3270,obsolete,6.99,6.99
3271,obvious,150.0,150.0
3272,obviously,19.8,19.8
3273,occasion,8.57,8.57
3274,occupies,6.95,6.95
3275,occurs,1.32,1.32
3276,ocean,14.99,14.99
3277,odd,7.99,7.99
3278,odds,29.99,29.99
3279,of,37.0,37.0
3280,off,49.99,49.99
3281,offer,4.99,4.99
3282,offer's,249.0,249.0
3283,offering,5.0,5.0
3284,offers,330.0,330.0
3285,office,49.98,49.98
3286,officers,29.95,29.95
3287,offices,50.0,50.0
3288,official,2.25,2.25
3289,officially,14.99,14.99
3290,offshore,"['$2.6', '$8.0', '$40.0', '$45.0', '$100.0', '$200.0', '$200.0', '$650.0', '$650.0']",210.62222222222218
3291,often,22.5,22.5
3292,oftentimes,2.19,2.19
3293,oh,27.97,27.97
3294,oil,5.0,5.0
3295,ok,"['$1.0', '$1.25', '$1.56', '$2.01', '$2.58', '$205.0', '$787.0']",142.91428571428568
3296,okay,14.99,14.99
3297,old,20.71,20.71
3298,older,6.5,6.5
3299,oldest,40.0,40.0
3300,on,54.99,54.99
3301,once,57.99,57.99
3302,one,18.99,18.99
3303,one's,444.0,444.0
3304,ones,14.99,14.99
3305,oneself,2.85,2.85
3306,ongoing,4.14,4.14
3307,online,21.99,21.99
3308,only,219.99,219.99
3309,onto,12.59,12.59
3310,open,3.99,3.99
3311,opened,299.99,299.99
3312,opener,4.5,4.5
3313,opening,$20.0,20.0
3314,opens,39.99,39.99
3315,operate,3.0,3.0
3316,operates,7.0,7.0
3317,operational,10.98,10.98
3318,operations,25.51,25.51
3319,opinion,14.44,14.44
3320,opinions,19.95,19.95
3321,opponent,299.99,299.99
3322,opportunities,14.98,14.98
3323,opportunity,4.95,4.95
3324,opposite,6.03,6.03
3325,oppressed,12.89,12.89
3326,oppression,3.99,3.99
3327,opt,0.99,0.99
3328,optimism,4.49,4.49
3329,optimistic,20.0,20.0
3330,option,19.5,19.5
3331,options,13.69,13.69
3332,or,16.08,16.08
3333,ora,49.99,49.99
3334,order,665.0,665.0
3335,ordered,9.89,9.89
3336,ordering,7.49,7.49
3337,orders,39.99,39.99
3338,ordinary,13.9,13.9
3339,organic,13.99,13.99
3340,organization,15.99,15.99
3341,organizations,3.96,3.96
3342,organize,15.99,15.99
3343,organized,28.99,28.99
3344,oriented,8.89,8.89
3345,origin,249.99,249.99
3346,original,49.99,49.99
3347,originally,7.99,7.99
3348,origins,9.98,9.98
3349,other,,
3350,others,145.0,145.0
3351,otherwise,20.99,20.99
3352,ought,4.49,4.49
3353,our,,
3354,ours,149.99,149.99
3355,ourselves,8.68,8.68
3356,out,9.99,9.99
3357,outcome,1.99,1.99
3358,outdated,14.75,14.75
3359,outlines,36.0,36.0
3360,outperformed,,
3361,outperforms,15.0,15.0
3362,output,20.99,20.99
3363,outrageous,7.35,7.35
3364,outside,15.99,15.99
3365,outsider,15.5,15.5
3366,outsider's,4.99,4.99
3367,outsmart,11.24,11.24
3368,outsource,0.99,0.99
3369,ovens,149.5,149.5
3370,over,24.99,24.99
3371,overall,13.86,13.86
3372,overcome,9.7,9.7
3373,overdo,84.95,84.95
3374,overestimate,0.99,0.99
3375,overextended,4.39,4.39
3376,overhead,109.19,109.19
3377,overheard,34.99,34.99
3378,overlook,10.0,10.0
3379,overly,23.0,23.0
3380,overnight,52.0,52.0
3381,overrated,109.99,109.99
3382,owe,1.3,1.3
3383,owed,1.0,1.0
3384,owes,4.99,4.99
3385,own,11.99,11.99
3386,owned,259.0,259.0
3387,owner,2.99,2.99
3388,owners,9.99,9.99
3389,owning,10.93,10.93
3390,owns,18.65,18.65
3391,pace,90.0,90.0
3392,pack,35.75,35.75
3393,package,15.5,15.5
3394,page,"['$1.0', '$2.0', '$2.0', '$3.0', '$3.0', '$3.0', '$6.0', '$9.0', '$12.0', '$35.0', '$60.0', '$150.0', '$200.0', '$400.0', '$500.0', '$5000.0']",399.125
3395,pages,0.99,0.99
3396,paid,7.99,7.99
3397,pain,26.98,26.98
3398,pains,14.85,14.85
3399,paint,3.15,3.15
3400,paints,3.15,3.15
3401,pair,119.49,119.49
3402,pairs,26.99,26.99
3403,pandemic,24.99,24.99
3404,panel,124.95,124.95
3405,panic,12.99,12.99
3406,paper,20.99,20.99
3407,papers,8.95,8.95
3408,paperwork,27.99,27.99
3409,paradigm,399.99,399.99
3410,paradise,18.65,18.65
3411,parasitic,18.99,18.99
3412,parent,28.49,28.49
3413,parenthood,32.0,32.0
3414,parenting,3.6,3.6
3415,parents,16.06,16.06
3416,park,15.95,15.95
3417,parking,17.77,17.77
3418,part,"['$2.49', '$3.0', '$3.0', '$4.99', '$4.99', '$4.99', '$8.99', '$10.99', '$13.95', '$28.99', '$30.0', '$30.0', '$36.99', '$125.0']",22.02642857142857
3419,part's,16.68,16.68
3420,partially,8.72,8.72
3421,participate,,
3422,particular,11.79,11.79
3423,parties,4.99,4.99
3424,partner,13.99,13.99
3425,partnering,19.99,19.99
3426,partners,14.24,14.24
3427,partnership,25.0,25.0
3428,parts,62.99,62.99
3429,party,4.99,4.99
3430,pass,64.95,64.95
3431,passed,15.71,15.71
3432,passenger,54.08,54.08
3433,passing,59.99,59.99
3434,passion,11.49,11.49
3435,passionate,54.99,54.99
3436,passive,,
3437,passively,119.99,119.99
3438,past,9.99,9.99
3439,pasta,18.94,18.94
3440,paste,15.75,15.75
3441,patent,25.59,25.59
3442,patented,26.55,26.55
3443,patenting,205.51,205.51
3444,path,109.59,109.59
3445,pattern,8.25,8.25
3446,patters,29.99,29.99
3447,pavilion,"['$1.0', '$2.0', '$2.0', '$3.0', '$3.0', '$3.0', '$5.0', '$5.0', '$7.0', '$12.0', '$25.0', '$25.0', '$30.0', '$50.0']",12.357142857142858
3448,pay,,
3449,paycheck,26.0,26.0
3450,paying,8.49,8.49
3451,payment,187.5,187.5
3452,payments,187.5,187.5
3453,payroll,22.95,22.95
3454,pays,19.98,19.98
3455,peace,31.97,31.97
3456,peaceful,14.99,14.99
3457,peak,32.95,32.95
3458,pearl,8.49,8.49
3459,pedal,"['$50.0', '$179.0', '$999.0']",409.33333333333326
3460,peddling,29.99,29.99
3461,pee,7.04,7.04
3462,peeling,4.98,4.98
3463,peer,29.99,29.99
3464,peers,19.5,19.5
3465,pegged,13.0,13.0
3466,pen,17.0,17.0
3467,penalties,"['$1.0', '$1.0', '$13.0', '$13.0', '$13.0', '$13.0', '$13.0', '$13.0', '$13.0', '$30.0', '$30.0', '$50.0', '$100.0', '$132.0', '$390.0', '$390.0', '$490.0', '$1000.0', '$5000.0']",405.5263157894737
3468,pencil,28.48,28.48
3469,pending,,
3470,penetrate,13.95,13.95
3471,pennies,15.99,15.99
3472,penny,9.13,9.13
3473,pension,16.5,16.5
3474,pensions,1.99,1.99
3475,people,12.99,12.99
3476,people's,5.0,5.0
3477,per,30.99,30.99
3478,perceive,15.99,15.99
3479,perceiving,4.09,4.09
3480,percent,1.35,1.35
3481,percentage,80.0,80.0
3482,perfect,7.99,7.99
3483,perfectly,9.5,9.5
3484,perform,10.61,10.61
3485,performance,17.99,17.99
3486,performers,9.99,9.99
3487,performing,82.0,82.0
3488,perhaps,15.99,15.99
3489,period,16.99,16.99
3490,periods,16.99,16.99
3491,perked,10.16,10.16
3492,perks,4.49,4.49
3493,permeate,43.5,43.5
3494,permission,0.99,0.99
3495,person,77.99,77.99
3496,person's,,
3497,personal,21.99,21.99
3498,personality,5.99,5.99
3499,personalized,2.49,2.49
3500,personally,105.0,105.0
3501,persons,27.99,27.99
3502,perspective,3.0,3.0
3503,persuade,2.0,2.0
3504,persuasion,7.19,7.19
3505,persuasive,22.53,22.53
3506,pesos,2489.36,2489.36
3507,pessimism,3.99,3.99
3508,pessimist,20.0,20.0
3509,pet,4.98,4.98
3510,phase,390.0,390.0
3511,phenomenal,,
3512,philosophies,13.11,13.11
3513,philosophy,24.45,24.45
3514,phobia,4.14,4.14
3515,phone,229.0,229.0
3516,phony,2.49,2.49
3517,photo,"['$0.0', '$1.0', '$3.0', '$10.0', '$25.0', '$25.0', '$25.0', '$25.0', '$25.0', '$50.0', '$50.0', '$50.0', '$50.0', '$75.0', '$75.0', '$100.0', '$100.0', '$100.0', '$100.0', '$125.0', '$150.0', '$150.0', '$150.0', '$150.0', '$250.0', '$300.0', '$300.0']",91.25925925925924
3518,photons,83.7,83.7
3519,photos,4.49,4.49
3520,phrase,13.95,13.95
3521,phrases,5.39,5.39
3522,phrasings,21.95,21.95
3523,physical,15.0,15.0
3524,physically,18.0,18.0
3525,physics,6.15,6.15
3526,pick,6.92,6.92
3527,picked,6.99,6.99
3528,picker,,
3529,picking,6.0,6.0
3530,picks,6.92,6.92
3531,picture,20.8,20.8
3532,pictures,11.27,11.27
3533,pie,7.99,7.99
3534,piece,140.0,140.0
3535,pieces,27.99,27.99
3536,pier,10.99,10.99
3537,pig,25.99,25.99
3538,pile,49.99,49.99
3539,piling,"['$1.0', '$10.0', '$10.0', '$15.0', '$20.0', '$35.0', '$40.0', '$50.0', '$72.0', '$95.0', '$197.0', '$213.0', '$262.0', '$819.0']",131.35714285714286
3540,pill,"['$1.5', '$1.5', '$2.1', '$2.1', '$5.0', '$5.0', '$5.0', '$6.0', '$10.0', '$12.0', '$13.5', '$13.5', '$15.0', '$15.0', '$25.0', '$25.0', '$40.0', '$50.0', '$80.0', '$460.0', '$500.0', '$720.0', '$750.0', '$750.0', '$750.0']",170.28799999999995
3541,pilot,18.0,18.0
3542,pineapple,5.99,5.99
3543,ping,51.0,51.0
3544,pink,12.99,12.99
3545,pipeline,17.99,17.99
3546,pirated,7.99,7.99
3547,piss,6.99,6.99
3548,pissed,"['$1664.0', '$2067.0', '$2327.0']",2019.333333333333
3549,pisses,12.95,12.95
3550,piston,169.95,169.95
3551,pitch,17.96,17.96
3552,pitched,"['$4.0', '$217.0']",110.5
3553,pitching,30.99,30.99
3554,pivot,4900.0,4900.0
3555,pivoted,13.99,13.99
3556,pivoting,42.95,42.95
3557,pizza,"['$0.05', '$0.24', '$0.6', '$0.89', '$5.0', '$5.0', '$5.0', '$5.0', '$5.0', '$5.99', '$11.0', '$19.99', '$20.0', '$20.0', '$20.99']",8.316666666666666
3558,place,34.99,34.99
3559,place's,4.48,4.48
3560,placed,10.0,10.0
3561,places,3.45,3.45
3562,plan,39.0,39.0
3563,plane,19.99,19.99
3564,planet's,16.75,16.75
3565,planned,14.99,14.99
3566,planning,2.5,2.5
3567,plans,23.95,23.95
3568,plant,7.99,7.99
3569,plantation,99.99,99.99
3570,planted,16.99,16.99
3571,plaque,"['$1.0', '$4.0', '$6.0', '$10.0', '$30.0', '$50.0', '$100.0', '$100.0', '$129.0', '$130.0', '$315.0']",79.54545454545455
3572,plate,48.95,48.95
3573,platform,16.99,16.99
3574,platforms,16.99,16.99
3575,play,29.99,29.99
3576,played,10.38,10.38
3577,players,39.99,39.99
3578,playful,64.99,64.99
3579,playground,799.0,799.0
3580,playing,5.93,5.93
3581,plays,3.55,3.55
3582,pleasant,125.0,125.0
3583,please,17.95,17.95
3584,pleased,17.06,17.06
3585,pleasure,22.49,22.49
3586,pledged,"['$2.0', '$50.0']",26.0
3587,plenty,25.0,25.0
3588,plot,24.99,24.99
3589,plug,0.99,0.99
3590,plural,100.0,100.0
3591,plus,22.99,22.99
3592,pocket,19.95,19.95
3593,pockets,13.99,13.99
3594,podcast,24.99,24.99
3595,podium,49.99,49.99
3596,poem,18.99,18.99
3597,point,19.95,19.95
3598,pointed,21.99,21.99
3599,pointing,"['$1.0', '$1.0', '$3.0', '$3.0', '$5.0', '$7.0', '$8.0', '$10.0', '$50.0', '$65.0', '$200.0', '$500.0', '$810.0']",127.92307692307692
3600,points,19.95,19.95
3601,pointy,15.99,15.99
3602,poised,8.99,8.99
3603,police,19.99,19.99
3604,policy,81.05,81.05
3605,polite,10.0,10.0
3606,political,"['$1.4', '$1.6', '$1.6', '$3.6', '$4.0', '$5.0', '$500.0']",73.88571428571429
3607,politically,9.99,9.99
3608,politics,11.33,11.33
3609,pollen,24.99,24.99
3610,pool,239.99,239.99
3611,pools,649.99,649.99
3612,poor,1.0,1.0
3613,poorer,9.99,9.99
3614,pop,"['$15.0', '$111.88']",63.44
3615,popped,8.99,8.99
3616,popular,"['$7.99', '$8.99', '$11.0', '$13.0', '$13.0', '$28.16', '$97.0', '$99.0']",34.7675
3617,popularized,12.0,12.0
3618,pork,20.99,20.99
3619,port,4.9,4.9
3620,portfolio,25.59,25.59
3621,pose,4.99,4.99
3622,poses,15.35,15.35
3623,position,16.99,16.99
3624,positioning,22.99,22.99
3625,positions,10.99,10.99
3626,positive,10.76,10.76
3627,possess,43.0,43.0
3628,possessions,3.25,3.25
3629,possibilities,14.0,14.0
3630,possibility,3.81,3.81
3631,possible,17.99,17.99
3632,possibly,12.85,12.85
3633,post,2.5,2.5
3634,posted,18.98,18.98
3635,posting,9.95,9.95
3636,posts,"['$3.76', '$9.69']",6.725
3637,pot,16.99,16.99
3638,potential,11.95,11.95
3639,potentially,700.0,700.0
3640,pounds,45.95,45.95
3641,pour,49.68,49.68
3642,poverty,10.85,10.85
3643,power,19.99,19.99
3644,powered,"['$5.0', '$6.0', '$7.0', '$8.0', '$9.0', '$50.0', '$53.0', '$102.0']",30.0
3645,powerful,12.79,12.79
3646,practice,12.99,12.99
3647,practiced,,
3648,practices,0.99,0.99
3649,practicing,19.99,19.99
3650,practitioner,4.99,4.99
3651,prank,9.65,9.65
3652,pray,7.99,7.99
3653,precious,2.99,2.99
3654,precisely,16.99,16.99
3655,predetermined,901.67,901.67
3656,predict,1000.0,1000.0
3657,predicted,9.82,9.82
3658,prediction,14.5,14.5
3659,predictions,15.0,15.0
3660,preempt,34.95,34.95
3661,prefer,7.99,7.99
3662,preferably,325.0,325.0
3663,premium,13.99,13.99
3664,prep,11.0,11.0
3665,prepackaged,159.0,159.0
3666,preparation,17.45,17.45
3667,prepare,5.4,5.4
3668,prepared,14.99,14.99
3669,preparing,19.16,19.16
3670,prepay,44.99,44.99
3671,preposition,49.99,49.99
3672,present,1.69,1.69
3673,presentation,79.0,79.0
3674,presents,7.99,7.99
3675,president,"['$1.6', '$1.6', '$4.0', '$146.0', '$208.0', '$276.0', '$387.0', '$400.0', '$9795.0']",1246.5777777777778
3676,press,"['$2.99', '$10.99', '$97.0', '$97.99', '$99.99']",61.792
3677,pressure,"['$0.08', '$0.35', '$0.35', '$0.4', '$0.77', '$0.8', '$60.0', '$100.0', '$100.0', '$100.0', '$100.0', '$130.0', '$173.0', '$173.0', '$173.0', '$211.0', '$220.0', '$220.0', '$250.0', '$250.0', '$275.0', '$311.0', '$311.0', '$358.0', '$380.0', '$420.0', '$480.0', '$500.0', '$500.0', '$500.0', '$800.0']",228.95967741935485
3678,pressuring,15.99,15.99
3679,pretend,24.95,24.95
3680,pretty,3.98,3.98
3681,prevent,7.99,7.99
3682,prevented,12.88,12.88
3683,preventing,4.5,4.5
3684,prevention,21.5,21.5
3685,prevents,6.99,6.99
3686,preview,19.99,19.99
3687,previously,4.89,4.89
3688,prey,12.99,12.99
3689,price,14.5,14.5
3690,priced,5.5,5.5
3691,priceless,7.49,7.49
3692,prices,8.75,8.75
3693,pricing,14.99,14.99
3694,pride,9.95,9.95
3695,primal,9.99,9.99
3696,primary,289.99,289.99
3697,prime,17.49,17.49
3698,principle,3.67,3.67
3699,principles,4.09,4.09
3700,print,12.75,12.75
3701,printed,5.49,5.49
3702,printing,"['$0.03', '$0.13']",0.08
3703,printout,56.25,56.25
3704,prior,209.99,209.99
3705,prioritize,4.13,4.13
3706,priority,22.5,22.5
3707,prison,22.99,22.99
3708,privacy,"['$1.0', '$1.0', '$2.0', '$2.0', '$4.0', '$4.0', '$4.0', '$8.0', '$10.0', '$18.0', '$20.0']",6.727272727272728
3709,private,10.5,10.5
3710,privilege,18.52,18.52
3711,probabilities,32.56,32.56
3712,probability,3.28,3.28
3713,probably,2.88,2.88
3714,problem,5.49,5.49
3715,problems,5.8,5.8
3716,process,90.0,90.0
3717,processes,19.2,19.2
3718,processing,20.95,20.95
3719,processor,354.99,354.99
3720,processors,354.99,354.99
3721,procrastinate,4.09,4.09
3722,procrastination,3.0,3.0
3723,produce,36.0,36.0
3724,producers,1.99,1.99
3725,producing,2.99,2.99
3726,product,24.99,24.99
3727,production,19.9,19.9
3728,productive,2.59,2.59
3729,productivity,12.98,12.98
3730,products,29.95,29.95
3731,profess,18.99,18.99
3732,profession,6.99,6.99
3733,professional,27.99,27.99
3734,professionally,35.0,35.0
3735,professor,,
3736,profile,$300.0,300.0
3737,profit,18.9,18.9
3738,profitability,4.99,4.99
3739,profitable,129.0,129.0
3740,profits,14.99,14.99
3741,profound,94.99,94.99
3742,program,24.95,24.95
3743,programs,24.95,24.95
3744,progress,96.95,96.95
3745,project,1950.0,1950.0
3746,project's,39.99,39.99
3747,projects,39.95,39.95
3748,promise,$15.0,15.0
3749,promised,39.95,39.95
3750,promises,8.5,8.5
3751,promote,5.25,5.25
3752,promotion,59.99,59.99
3753,prompt,189.99,189.99
3754,proof,49.99,49.99
3755,proper,19.95,19.95
3756,properties,2550.0,2550.0
3757,property,1826.0,1826.0
3758,prophet,1299.99,1299.99
3759,proportion,$150.0,150.0
3760,proposed,26.52,26.52
3761,proposition,1.5,1.5
3762,pros,13.99,13.99
3763,prospect,14.99,14.99
3764,prospect's,15.29,15.29
3765,prospects,15.29,15.29
3766,prosper,10.4,10.4
3767,prosperity,10.65,10.65
3768,protect,12.95,12.95
3769,protected,31.95,31.95
3770,protecting,25.99,25.99
3771,protection,12.95,12.95
3772,protections,2.99,2.99
3773,protective,11.99,11.99
3774,protects,2.99,2.99
3775,protocol,51.96,51.96
3776,proud,8.98,8.98
3777,prove,1.8,1.8
3778,proved,270.0,270.0
3779,proven,"['$50.0', '$99.0', '$249.0']",132.66666666666666
3780,proverb,10.0,10.0
3781,provide,89.49,89.49
3782,provided,23.99,23.99
3783,provider,7.53,7.53
3784,provides,13.49,13.49
3785,providing,43.93,43.93
3786,provision,70.0,70.0
3787,provisioning,4.5,4.5
3788,psycho,6.99,6.99
3789,psychological,10.32,10.32
3790,psychologist,9.81,9.81
3791,psychology,2.99,2.99
3792,psychopathic,22.97,22.97
3793,psychotic,21.99,21.99
3794,public,27.99,27.99
3795,published,1.99,1.99
3796,publisher,13.95,13.95
3797,publishing,1.99,1.99
3798,pull,23.97,23.97
3799,pulled,219.99,219.99
3800,pulling,64.5,64.5
3801,pulls,8.99,8.99
3802,pump,36.7,36.7
3803,punch,10.44,10.44
3804,punching,35.99,35.99
3805,punished,9.75,9.75
3806,punishes,17.95,17.95
3807,purchase,$10.0,10.0
3808,purchased,3.28,3.28
3809,purchasing,4.09,4.09
3810,pure,21.5,21.5
3811,purely,69.99,69.99
3812,purpose,15.95,15.95
3813,pursue,16.99,16.99
3814,pursuit,49.99,49.99
3815,push,,
3816,pushed,,
3817,pushing,179.0,179.0
3818,pushup,31.5,31.5
3819,put,12.0,12.0
3820,puts,29.99,29.99
3821,putting,16.85,16.85
3822,puzzle,15.95,15.95
3823,puzzles,15.95,15.95
3824,quadrant,47.5,47.5
3825,qualify,44.5,44.5
3826,qualifying,5.99,5.99
3827,qualities,15.36,15.36
3828,quality,22.72,22.72
3829,quantitative,19.95,19.95
3830,quarantined,14.99,14.99
3831,quarter,3.88,3.88
3832,question,139.99,139.99
3833,questioning,4.49,4.49
3834,questions,109.95,109.95
3835,quick,288.99,288.99
3836,quickly,8.29,8.29
3837,quiet,"['$18.0', '$20.0', '$40.0']",26.0
3838,quit,38.45,38.45
3839,quite,54.99,54.99
3840,quiz,17.0,17.0
3841,quote,7.99,7.99
3842,race,37.9,37.9
3843,racial,18.16,18.16
3844,racist,"['$156.0', '$48000.0']",24078.0
3845,rack,39.09,39.09
3846,radio,"['$0.99', '$12.5', '$30.0', '$30.0', '$70.0', '$80.0', '$90.0', '$92.0', '$97.0', '$97.0', '$180.0', '$200.0', '$200.0', '$300.0', '$350.0', '$400.0']",139.343125
3847,rails,24.99,24.99
3848,rain,8.99,8.99
3849,rainbows,7.95,7.95
3850,raining,23.49,23.49
3851,raise,18.99,18.99
3852,raised,27.98,27.98
3853,raising,7.99,7.99
3854,rambling,104.99,104.99
3855,ran,19.99,19.99
3856,random,9.99,9.99
3857,rang,290.0,290.0
3858,range,"['$1.0', '$2.0', '$2.0', '$3.0', '$5.0', '$25.0', '$35.0', '$100.0', '$115.0', '$200.0', '$200.0', '$200.0', '$200.0', '$200.0', '$300.0', '$300.0', '$300.0', '$300.0', '$400.0', '$500.0', '$500.0', '$600.0', '$650.0', '$700.0']",243.25
3859,ranks,19.95,19.95
3860,rapidly,9.95,9.95
3861,rare,14.49,14.49
3862,rarely,9.49,9.49
3863,rate,14.71,14.71
3864,rates,8.07,8.07
3865,rather,,
3866,rating,8.19,8.19
3867,ratings,15.99,15.99
3868,raw,24.89,24.89
3869,rays,"['$1.0', '$2.0', '$3.5', '$4.5', '$4.5', '$4.75', '$5.0', '$8.25', '$8.75', '$10.0', '$12.0', '$12.5', '$12.79', '$14.0', '$14.5', '$15.0', '$15.0', '$20.0', '$20.0', '$21.0', '$45.0', '$192.23']",20.285
3870,razor's,9.95,9.95
3871,re,17.99,17.99
3872,reach,9.99,9.99
3873,reached,4.49,4.49
3874,reaching,"['$1.0', '$1.0', '$4.0', '$4.0', '$4.18', '$4.19', '$5.0', '$5.0', '$30.0']",6.485555555555557
3875,react,89.95,89.95
3876,reacting,109.99,109.99
3877,reaction,5.99,5.99
3878,reactions,80.0,80.0
3879,reactive,1.25,1.25
3880,reacts,109.99,109.99
3881,read,15.79,15.79
3882,reader,21.95,21.95
3883,readers,10.95,10.95
3884,reading,8.95,8.95
3885,ready,9.28,9.28
3886,real,30.99,30.99
3887,realign,99.99,99.99
3888,realistic,22.99,22.99
3889,reality,12.99,12.99
3890,realize,80.0,80.0
3891,realized,11.99,11.99
3892,realizing,3.97,3.97
3893,really,80.0,80.0
3894,reason,39.0,39.0
3895,reasons,7.5,7.5
3896,rebuild,61.45,61.45
3897,recap,185.0,185.0
3898,receipt,19.75,19.75
3899,receive,349.0,349.0
3900,received,9.99,9.99
3901,receiving,9.99,9.99
3902,recent,5.99,5.99
3903,recently,27.95,27.95
3904,recession,49.99,49.99
3905,recipes,2.97,2.97
3906,recipient,125.0,125.0
3907,recognition,1.99,1.99
3908,recognize,14.99,14.99
3909,recommend,8.0,8.0
3910,recommends,59.99,59.99
3911,reconcile,10.0,10.0
3912,record,20.0,20.0
3913,recorder,19.99,19.99
3914,recording,16.99,16.99
3915,recordings,118.64,118.64
3916,records,20.0,20.0
3917,recreating,37.58,37.58
3918,recruit,4.75,4.75
3919,recruiter,8.99,8.99
3920,recurring,2.48,2.48
3921,red,21.24,21.24
3922,reduce,19.39,19.39
3923,refer,11.99,11.99
3924,reference,129.0,129.0
3925,references,19.99,19.99
3926,referring,7.49,7.49
3927,refers,22.0,22.0
3928,refinanced,14.99,14.99
3929,reflect,25.94,25.94
3930,reform,29.99,29.99
3931,refresh,12.99,12.99
3932,refused,$300.0,300.0
3933,regain,16.95,16.95
3934,regarding,5.05,5.05
3935,register,173.37,173.37
3936,registered,0.81,0.81
3937,registration,14.49,14.49
3938,regular,,
3939,regularly,27.88,27.88
3940,regulate,39.99,39.99
3941,regulated,25.0,25.0
3942,regulation,25.85,25.85
3943,regulations,25.85,25.85
3944,regulators,39.99,39.99
3945,reinvent,59.99,59.99
3946,reinvented,34.99,34.99
3947,reinventing,12.54,12.54
3948,reinvest,21.49,21.49
3949,reinvested,49.99,49.99
3950,reject,15.59,15.59
3951,rejected,49.99,49.99
3952,relate,"['$1.0', '$25.0', '$29.0', '$300.0']",88.75
3953,related,26.99,26.99
3954,relates,27.44,27.44
3955,relationship,5.99,5.99
3956,relationships,8.99,8.99
3957,relatively,1147.97,1147.97
3958,relax,58.99,58.99
3959,relaxed,14.99,14.99
3960,relaxing,41.59,41.59
3961,release,39.88,39.88
3962,released,10.99,10.99
3963,relieve,26.98,26.98
3964,relieved,200.0,200.0
3965,religion,29.0,29.0
3966,religious,10.99,10.99
3967,religiously,7.59,7.59
3968,rely,69.67,69.67
3969,relying,3.86,3.86
3970,remaining,5.99,5.99
3971,remake,79.99,79.99
3972,remarkable,310.0,310.0
3973,remember,4.95,4.95
3974,remind,"['$2.0', '$3.5', '$3.5', '$4.0', '$7.0', '$7.0', '$10.5']",5.357142857142857
3975,reminder,14.24,14.24
3976,reminding,6.95,6.95
3977,reminds,12.0,12.0
3978,remission,28.67,28.67
3979,remotely,4.9,4.9
3980,remove,25.0,25.0
3981,removed,22.99,22.99
3982,rendered,0.99,0.99
3983,renege,"['$13.5', '$20.0', '$750.0']",261.1666666666667
3984,renewals,6.99,6.99
3985,renovating,11.75,11.75
3986,renowned,0.99,0.99
3987,rent,3.58,3.58
3988,rental,199.0,199.0
3989,rented,10.95,10.95
3990,renting,8.0,8.0
3991,rents,16.96,16.96
3992,repairing,19.5,19.5
3993,repairs,24.97,24.97
3994,repeat,37.95,37.95
3995,rephrase,9.99,9.99
3996,replace,16.45,16.45
3997,replaced,7.45,7.45
3998,replicated,24.99,24.99
3999,reply,5.78,5.78
4000,replying,5.67,5.67
4001,report,14.9,14.9
4002,represent,27.95,27.95
4003,reprogram,199.0,199.0
4004,reptilian,9.99,9.99
4005,reputation,8.98,8.98
4006,request,8.0,8.0
4007,requested,7.99,7.99
4008,require,140.0,140.0
